State,Region,Division,Handgun Checks,Long Gun Checks,Total Checks,Rifles Manufactured,Pistols Manufactured,Shotguns Manufactured,Revolvers Manufactured,Misc Manufactured,Total Manufactured
MA,Northeast,New England,75977,41931,75977,,,,,,2634040
NH,Northeast,New England,68529,44681,68529,,,,,,1493803
AZ,West,Mountain,166784,108988,166784,,,,,,936440
NY,Northeast,Middle Atlantic,133285,197670,133285,,,,,,888124
FL,South,South Atlantic,662308,316232,662308,,,,,,722363
TX,South,West South Central,637476,481609,637476,,,,,,586365
KY,South,East South Central,140721,109030,140721,,,,,,460181
NC,South,South Atlantic,16595,176919,16595,,,,,,427524
AL,South,East South Central,153123,121963,153123,,,,,,422394
GA,South,South Atlantic,194800,128277,194800,,,,,,384544
CT,Northeast,New England,122375,43813,122375,,,,,,319498
SC,South,South Atlantic,132473,87413,132473,,,,,,265299
NJ,Northeast,Middle Atlantic,70249,49099,70249,,,,,,258606
OH,Midwest,East North Central,394570,243963,394570,,,,,,231288
IL,Midwest,East North Central,352411,177255,352411,,,,,,206290
SD,Midwest,West North Central,36520,49522,36520,,,,,,185257
UT,West,Mountain,47401,54133,47401,,,,,,149176
VT,Northeast,New England,18320,21746,18320,,,,,,147810
WA,West,Pacific,214106,151029,214106,,,,,,102892
MD,South,South Atlantic,52305,71892,52305,,,,,,97867
CA,West,Pacific,560355,554550,560355,,,,,,90133
PA,Northeast,Middle Atlantic,642232,158141,642232,,,,,,85589
NV,West,Mountain,66158,38105,66158,,,,,,67752
ME,Northeast,New England,48845,46780,48845,,,,,,65274
MN,Midwest,West North Central,133962,143543,133962,,,,,,42769
MO,Midwest,West North Central,274754,202708,274754,,,,,,39183
WI,Midwest,East North Central,186300,159784,186300,,,,,,35898
TN,South,East South Central,319169,210161,319169,,,,,,27291
ID,West,Mountain,46523,55591,46523,,,,,,23213
AR,South,West South Central,80244,82120,80244,,,,,,21097
MT,West,Mountain,37547,56834,37547,,,,,,20841
VA,South,South Atlantic,295963,209975,295963,,,,,,13999
OR,West,Pacific,178716,143029,178716,,,,,,11168
IA,Midwest,West North Central,2790,35254,2790,,,,,,7841
IN,Midwest,East North Central,278182,177218,278182,,,,,,5743
KS,Midwest,West North Central,81116,73748,81116,,,,,,3916
OK,Midwest,West South Central,166181,130514,166181,,,,,,3191
MI,Midwest,East North Central,164878,129089,164878,,,,,,2611
WV,South,South Atlantic,92124,81105,92124,,,,,,1927
WY,West,Mountain,22569,25815,22569,,,,,,1797
CO,West,Mountain,242502,180026,242502,,,,,,1647
MS,South,East South Central,119050,92822,119050,,,,,,1575
RI,Northeast,New England,14262,10204,14262,,,,,,1558
NE,Midwest,West North Central,1717,26494,1717,,,,,,547
ND,Midwest,West North Central,19975,34013,19975,,,,,,314
LA,South,West South Central,171588,139122,171588,,,,,,311
NM,West,Mountain,69434,55664,69434,,,,,,200
AK,West,Pacific,37491,36887,37491,,,,,,193
DE,South,South Atlantic,25574,21746,25574,,,,,,48
HI,West,Pacific,0,0,0,,,,,,42
PR,Territory,Territory,12779,2416,12779,,,,,,12