Company,Rifles,Pistols,Shotguns,Revolvers,Misc,Total
Smith & Wesson Corp,396710,1429451,69,294680,11252,2132162
"Sturm, Ruger & Company, Inc",701992,1030867,183,248548,26312,2007902
Remington Arms Company LLC,769942,84852,385871,0,98,1240763
Sig Sauer Inc,51726,581807,0,0,876,634409
"Maverick Arms, Inc",121611,0,367542,0,0,489153
WM C Anderson Inc,453763,3666,0,0,0,457429
Glock Inc,0,368140,0,0,0,368140
"Savage Arms, Inc",311878,16170,0,0,0,328048
Henry Rac Holding Group,258452,0,0,0,0,258452
Kimber MFG Inc,11079,220804,0,2981,0,234864