Year,Pistols Exported,Revolvers Exported,Rifles Exported,Shotguns Exported,Misc Exported,Total Exported,Shotguns Imported,Rifles Imported,Handguns Imported,Total Imported
1986,16511,104571,37224,58943,199,217448,201000,269000,231000,701000
1987,24941,134611,42161,76337,9995,288045,307620,413780,342113,1063513
1988,32570,99289,53896,68699,2728,257182,372008,282640,621620,1276268
1989,41970,76494,73247,67559,2012,261282,274497,293152,440132,1007781
1990,73398,106820,71834,104250,5323,361625,191787,203505,448517,843809
1991,79275,110058,91067,117801,2964,401165,116141,311285,293231,720657
1992,76824,113178,90015,119127,4647,403791,441933,1423189,981588,2846710
1993,59234,91460,94272,171475,14763,431204,246114,1592522,1204685,3043321
1994,93959,78935,81835,146524,3220,404473,117866,847868,915168,1880902
1995,97969,131634,90834,101301,2483,424221,136126,261185,706093,1103404
1996,64126,90068,74557,97191,6055,331997,128456,262568,490554,881578
1997,44182,63656,76626,86263,4354,275081,106296,358937,474182,939415
1998,29537,15788,65807,89699,2513,203344,219387,248742,531681,999810
1999,34663,48616,65669,67342,4028,220318,385556,198191,308052,891799
2000,28636,48130,49642,35087,11132,172627,331985,298894,465903,1096782
2001,32151,32662,50685,46174,10939,172611,428330,227608,710958,1366896
2002,22555,34187,60644,31897,1473,150756,379755,507637,741845,1629237
2003,16340,26524,62522,29537,6989,141912,407402,428837,630263,1466502
2004,14959,24122,62403,31025,7411,139920,507050,564953,838856,1910859
2005,19196,29271,92098,46129,7988,194682,546403,682100,878172,2106675
2006,144779,28120,102829,57771,34022,367521,606820,659393,1166309,2432522
2007,45053,34662,80594,26949,17524,204782,725752,631781,1386460,2743993
2008,54030,28205,104544,41186,523,228488,535960,602364,1468062,2606386
2009,56402,32377,61072,36455,8438,194744,558679,864010,2184417,3607106
2010,80041,25286,76518,43361,16771,241977,509913,547449,1782585,2839947
2011,121035,23221,79256,54878,18498,296888,529056,998072,1725276,3252404
2012,128313,19643,81355,42858,15385,287554,973465,1243924,2627201,4844590
2013,167653,21236,131718,49766,22748,393121,936235,1507776,3095528,5539539
2014,126316,25521,207934,60377,784,420932,648339,791892,2185037,3625268
2015,140787,22666,159707,18797,1499,343456,644293,815817,2470101,3930211
2016,172408,24587,147044,24668,8111,376818,736482,729452,3671837,5137771